id,ftemp,age,educ,annualinc,marital,children,race,homeowner,state
703170,1,30,17,72458.586,1,0,1,0,36
704170,1,28,12,15227.989,1,2,1,1,36
709001,1,59,12,64277.777,1,0,1,1,24
709175,1,40,11,21735.238,1,3,1,0,37
709176,1,41,12,49850.336,1,1,1,1,37
709177,1,30,12,57917.781,1,0,1,1,24
711004,1,27,14,9349.4951,2,0,1,0,29
711170,1,35,12,32500.012,1,2,1,0,29
712170,1,34,15,84554.492,1,2,1,1,5
712172,1,34,12,28048.484,1,1,1,0,40
713005,1,35,11,65421.922,4,2,1,1,40
713006,1,33,11,36696.766,1,3,1,1,5
713175,1,29,12,40904.039,1,1,1,1,40
717004,1,27,16,42743.551,1,1,1,0,16
717170,1,42,16,74795.961,1,2,1,1,16
718170,1,46,17,115115.66,1,1,1,1,32
719001,1,46,14,78302.016,1,1,1,1,32
722003,1,39,17,47288.574,1,0,1,1,5
722005,1,24,16,26879.797,2,0,1,0,46
728172,1,35,16,86821.742,1,3,1,1,4
729003,1,39,12,24832.258,1,2,1,1,48
729170,1,33,12,37140.867,1,4,1,1,48
729176,1,26,10,30084.336,1,0,1,0,48
731001,1,47,12,106233.63,1,1,1,1,21
731003,1,50,12,76782.727,1,0,1,1,34
733003,1,32,14,60304.242,1,0,1,1,34
733004,1,31,16,45578.785,1,0,1,1,34
733172,1,56,12,74503.789,1,0,1,0,34
734001,1,52,13,120374.74,1,0,1,1,34
734004,1,28,16,72926.063,1,2,1,1,28
736004,1,39,12,33985.414,1,2,1,1,31
737170,1,30,16,164925.09,1,2,1,1,31
738001,1,48,12,42072.727,1,0,1,1,18
738003,0,24,16,12329.646,2,0,1,0,18
745001,1,54,14,66313.625,1,0,4,1,4
749001,1,43,17,192307.42,1,3,1,1,4
750001,1,55,11,53701.16,1,0,1,1,36
750004,1,27,12,52538.316,1,1,1,1,36
750005,1,23,13,34074.234,2,0,1,0,36
751003,1,33,12,37985.828,1,2,1,1,36
751005,1,31,13,44330.629,4,0,1,0,36
751171,1,33,13,70238.078,1,3,1,1,36
754001,1,46,14,146085.86,4,0,1,1,32
759003,1,39,16,120842.22,1,1,1,1,18
759021,1,41,17,106584.24,1,2,1,1,6
762003,0,30,12,9349.4951,2,0,1,0,21
762170,1,25,16,63167.523,1,1,1,1,21
769001,1,47,16,68334.289,1,1,1,1,14
769172,1,33,13,47290.914,1,2,1,0,14
771001,1,45,10,52590.906,5,0,1,0,10
771170,1,26,11,23097.926,1,1,1,1,10
771171,1,24,12,25711.111,1,0,1,0,10
774171,1,29,16,65446.465,1,1,1,1,9
776003,0,30,12,5726.5654,2,0,1,0,34
777003,1,43,13,46163.129,4,0,1,1,21
777005,1,34,16,56447.574,1,1,1,1,21
777175,1,39,16,108103.53,1,3,1,1,10
779003,0,47,16,91634.398,1,2,1,1,38
779170,1,41,14,50837.879,1,2,1,1,19
779171,1,44,17,106607.62,1,2,1,1,6
779173,0,39,17,27347.271,1,2,1,1,31
780170,0,45,12,33658.18,1,2,1,1,29
783001,1,55,16,461631.31,1,0,1,1,29
789170,1,41,14,37711.188,1,1,1,1,48
792004,1,37,16,99118.672,1,1,1,0,31
794001,1,55,16,192833.33,1,0,1,1,24
794003,1,24,16,106584.24,1,0,1,1,10
796001,1,58,12,63693.434,1,0,1,1,6
796003,1,32,16,35644.949,2,0,4,0,6
796006,1,28,12,18365.914,2,0,1,0,45
796170,1,32,9,31694.787,1,2,1,0,6
796172,0,36,10,24893.029,1,2,1,1,6
798171,1,37,14,95832.32,1,0,1,1,21
808001,1,44,17,96112.805,1,1,1,1,31
811175,1,43,12,46747.473,1,0,1,1,27
816001,1,57,12,25690.074,1,0,1,1,22
817001,1,46,16,129139.9,1,0,1,1,22
818003,1,38,16,38566.664,1,0,1,1,22
818171,1,36,17,87184.039,1,1,1,1,22
819003,1,32,17,64277.777,1,1,1,1,22
819004,1,34,16,53597.148,1,3,1,1,22
821021,1,41,16,74620.656,1,2,1,0,6
823003,1,42,17,51422.223,4,0,1,0,22
823171,1,47,17,103306.07,1,2,1,1,40
826001,1,49,12,41432.285,1,1,1,1,41
826003,1,23,12,15192.929,2,0,1,0,41
828001,1,46,12,68594.906,1,0,1,1,41
830001,1,48,12,41780.555,4,0,1,1,13
830177,0,36,14,17880.908,1,0,1,1,13
830178,1,28,12,36502.766,1,2,1,0,13
832003,1,29,14,57265.656,1,2,1,1,9
832170,1,50,16,95569.367,1,1,1,1,9
833003,1,35,12,42825.359,1,2,1,1,13
833004,1,34,12,58434.344,1,2,1,1,13
833005,1,30,12,32138.889,4,1,1,1,13
833006,1,26,12,26159.887,2,0,1,0,13
834001,1,46,14,130454.67,4,1,1,0,34
834171,1,50,12,31554.545,1,0,1,1,9
835001,1,56,16,63712.133,4,0,1,0,34
835003,1,32,14,97234.742,1,0,1,1,34
835004,1,28,16,92560,1,1,1,1,34
835005,1,26,16,58434.344,2,0,1,0,9
838001,1,45,12,15101.771,5,0,1,0,42
838171,1,25,14,22058.965,1,1,1,0,42
840003,1,41,9,7596.4644,1,0,2,1,32
840004,1,41,12,11200.694,5,0,2,0,32
840005,1,37,9,34378.094,1,2,2,0,32
840006,1,36,8,11453.131,1,2,2,0,32
843170,1,52,12,93962.422,1,0,1,1,3
844001,1,45,12,39443.18,1,1,1,1,3
844003,1,23,12,24467.627,1,1,1,0,3
846005,1,36,12,38566.664,1,3,2,1,23
846008,1,28,14,41137.777,1,0,2,1,23
846171,0,42,12,12855.556,1,2,2,1,23
850002,1,45,12,31729.848,4,0,1,1,37
